epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0867,1.4557,2.52293,1.1252,0.00521,1,0.94197,0.57188,1.20257,2.95865,0.95188,0.00034,0.00034,0.00034
2,185.883,1.32502,1.41685,1.07605,1,0.0562,0.78198,0.39777,1.19575,2.97974,0.98695,0.00068614,0.00068614,0.00068614
3,278.537,1.28569,1.16614,1.07015,0.40057,0.05405,0.26391,0.12407,1.29892,3.05437,1.17111,0.00101802,0.00101802,0.00101802
4,368.65,1.22148,1.10758,1.07988,0.98321,0.52748,0.88587,0.54761,1.30969,2.36607,1.11225,0.00133565,0.00133565,0.00133565
5,459.33,1.2997,1.07887,1.09031,0.98442,0.56909,0.92594,0.5645,1.29292,2.23918,1.14009,0.00163902,0.00163902,0.00163902
6,549.678,1.31449,1.05152,1.13102,0.97377,0.90991,0.97813,0.59985,1.34342,1.46724,1.12787,0.001802,0.001802,0.001802
7,640.419,1.24038,0.97736,1.06525,0.97575,0.99099,0.97875,0.63023,1.22881,0.94843,1.10972,0.0017624,0.0017624,0.0017624
8,732.878,1.21376,0.90001,1.06288,0.98186,0.97521,0.9902,0.63958,1.23389,0.87914,1.1244,0.0017228,0.0017228,0.0017228
9,824.489,1.23005,0.87137,1.06221,0.97366,0.96396,0.98615,0.63566,1.23549,0.82242,1.12786,0.0016832,0.0016832,0.0016832
10,916.049,1.18605,0.81867,1.06615,0.95473,0.98198,0.98049,0.62687,1.28295,0.8914,1.1313,0.0016436,0.0016436,0.0016436
11,1007.91,1.21876,0.81755,1.06005,0.97259,0.98198,0.98843,0.59569,1.31602,0.75655,1.1599,0.001604,0.001604,0.001604
12,1099.05,1.18554,0.77436,1.05795,0.97191,1,0.98537,0.64534,1.26335,0.75823,1.12855,0.0015644,0.0015644,0.0015644
13,1189.94,1.16227,0.7544,1.05052,0.97265,0.96119,0.98317,0.63687,1.2474,0.73074,1.13026,0.0015248,0.0015248,0.0015248
14,1281.22,1.18598,0.73786,1.05673,0.96517,0.99859,0.98995,0.64987,1.22601,0.74401,1.11604,0.0014852,0.0014852,0.0014852
15,1371.99,1.17311,0.70268,1.05766,0.97354,0.99456,0.98712,0.6592,1.16715,0.69151,1.1024,0.0014456,0.0014456,0.0014456
16,1462.54,1.17917,0.70054,1.05397,0.94876,0.96396,0.97945,0.6491,1.19242,0.71283,1.09362,0.001406,0.001406,0.001406
17,1552.74,1.19141,0.69837,1.04449,0.96361,0.95414,0.98517,0.63198,1.21553,0.68932,1.11107,0.0013664,0.0013664,0.0013664
18,1645.05,1.13799,0.65232,1.03025,0.96513,0.99737,0.98528,0.64185,1.1697,0.59951,1.07978,0.0013268,0.0013268,0.0013268
19,1736.11,1.14659,0.63377,1.04318,0.96454,0.98021,0.98912,0.6521,1.20715,0.63382,1.09066,0.0012872,0.0012872,0.0012872
20,1831.39,1.13649,0.64261,1.04843,0.97273,0.9641,0.98568,0.65956,1.19575,0.6269,1.09316,0.0012476,0.0012476,0.0012476
21,1922.54,1.10189,0.61199,1.0259,0.98194,0.9799,0.99075,0.65605,1.20356,0.57514,1.09199,0.001208,0.001208,0.001208
22,2013.8,1.09641,0.60084,1.04112,0.98094,0.99099,0.98245,0.64332,1.2666,0.59477,1.10477,0.0011684,0.0011684,0.0011684
23,2104.74,1.11569,0.62051,1.02905,0.97185,0.98198,0.99133,0.64226,1.22182,0.61746,1.10835,0.0011288,0.0011288,0.0011288
24,2196.23,1.11024,0.61202,1.03167,0.96515,0.99795,0.98927,0.64729,1.23586,0.65136,1.11865,0.0010892,0.0010892,0.0010892
25,2287.21,1.08395,0.59894,1.0201,0.97295,0.97198,0.98966,0.64419,1.2363,0.57186,1.12472,0.0010496,0.0010496,0.0010496
26,2377.51,1.09336,0.59149,1.01786,0.9663,0.98198,0.98986,0.67124,1.16355,0.54826,1.0758,0.00101,0.00101,0.00101
27,2468.16,1.0506,0.56347,1.01266,0.98197,0.98132,0.98981,0.66373,1.19472,0.59066,1.09414,0.0009704,0.0009704,0.0009704
28,2561.64,1.03951,0.54748,1.01199,0.98049,0.99099,0.98724,0.63442,1.23873,0.56435,1.08468,0.0009308,0.0009308,0.0009308
29,2657.32,1.09539,0.56609,1.01672,0.97234,0.9501,0.9811,0.62088,1.24737,0.58334,1.09326,0.0008912,0.0008912,0.0008912
30,2749.76,1.05469,0.56282,0.99516,0.98035,0.99099,0.98032,0.6265,1.24414,0.54961,1.10959,0.0008516,0.0008516,0.0008516
