epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.359,1.49005,3.02413,1.31939,0.00356,0.93939,0.26556,0.12996,1.25951,3.66798,1.14603,0.00042,0.00042,0.00042
2,226.819,1.42662,1.98727,1.19312,0.00364,0.83838,0.17774,0.07767,1.53349,3.72897,1.36059,0.000842972,0.000842972,0.000842972
3,341.992,1.47065,1.77332,1.2195,0.96224,0.36364,0.64941,0.33871,1.55371,3.10943,1.37,0.00124852,0.00124852,0.00124852
4,453.534,1.46018,1.61282,1.25454,0.81258,0.43434,0.51523,0.27568,1.57525,2.72391,1.55885,0.00163664,0.00163664,0.00163664
5,566.842,1.47227,1.59108,1.2684,0.01383,0.31313,0.01123,0.00436,1.80182,6.7969,1.72995,0.0018416,0.0018416,0.0018416
6,679.506,1.50802,1.48475,1.27641,0.16714,0.30406,0.16102,0.07093,1.62943,5.03059,1.6764,0.001802,0.001802,0.001802
7,792.18,1.49835,1.45879,1.26371,0.09768,0.66667,0.08609,0.04159,1.64796,7.4681,1.51743,0.0017624,0.0017624,0.0017624
8,905.026,1.48023,1.34513,1.25626,0.77059,0.68687,0.74529,0.37544,1.64304,1.72496,1.44352,0.0017228,0.0017228,0.0017228
9,1017.7,1.4376,1.23457,1.26415,0.70798,0.6857,0.71946,0.35254,1.5857,1.57664,1.41236,0.0016832,0.0016832,0.0016832
10,1131.07,1.42459,1.16416,1.21942,0.82423,0.79798,0.81924,0.42563,1.53111,1.33826,1.34524,0.0016436,0.0016436,0.0016436
11,1244.21,1.39351,1.1566,1.22723,0.76685,0.76768,0.78931,0.42193,1.53057,1.3348,1.32873,0.001604,0.001604,0.001604
12,1357.1,1.39575,1.07204,1.21817,0.75598,0.75758,0.76988,0.41921,1.50505,1.43402,1.32072,0.0015644,0.0015644,0.0015644
13,1470.37,1.33381,1.06371,1.19736,0.77558,0.73311,0.7824,0.43122,1.52464,1.29302,1.38673,0.0015248,0.0015248,0.0015248
14,1583.25,1.35903,1.01541,1.18376,0.75734,0.71717,0.76156,0.43809,1.47957,1.24202,1.3271,0.0014852,0.0014852,0.0014852
15,1695.91,1.33624,0.96449,1.17132,0.83379,0.76012,0.80474,0.44039,1.51664,1.25258,1.34851,0.0014456,0.0014456,0.0014456
16,1809.74,1.32671,0.96404,1.19788,0.84472,0.79798,0.86948,0.47641,1.46812,1.0151,1.34131,0.001406,0.001406,0.001406
17,1922.37,1.29547,0.92483,1.15307,0.85577,0.77913,0.84222,0.46727,1.55225,1.13671,1.34342,0.0013664,0.0013664,0.0013664
18,2034.83,1.31802,0.92438,1.19171,0.86115,0.72727,0.82306,0.4574,1.49914,1.0827,1.30028,0.0013268,0.0013268,0.0013268
19,2147.53,1.30527,0.93467,1.18892,0.8703,0.80808,0.84191,0.46762,1.40814,1.09484,1.29633,0.0012872,0.0012872,0.0012872
20,2259.94,1.26385,0.87309,1.16707,0.91241,0.80808,0.86484,0.47676,1.45311,0.98259,1.33272,0.0012476,0.0012476,0.0012476
21,2373.27,1.27144,0.84493,1.15977,0.89815,0.77778,0.8592,0.48028,1.43707,1.00139,1.29943,0.001208,0.001208,0.001208
22,2486.3,1.25951,0.81313,1.13636,0.91651,0.76768,0.86143,0.49184,1.45271,1.02946,1.32006,0.0011684,0.0011684,0.0011684
23,2599.92,1.26152,0.80869,1.11242,0.8397,0.81818,0.8635,0.48196,1.45506,0.97564,1.32276,0.0011288,0.0011288,0.0011288
24,2713.17,1.16942,0.78401,1.0839,0.8842,0.78788,0.84416,0.44836,1.53267,0.99769,1.3387,0.0010892,0.0010892,0.0010892
25,2825.69,1.24799,0.78858,1.10804,0.83725,0.72727,0.78844,0.47314,1.5236,1.0483,1.3663,0.0010496,0.0010496,0.0010496
26,2939.39,1.2474,0.77297,1.13133,0.87778,0.77778,0.83299,0.48606,1.41822,0.99857,1.30229,0.00101,0.00101,0.00101
27,3053.09,1.21146,0.74605,1.12359,0.92239,0.74747,0.8213,0.4731,1.4555,0.96918,1.30875,0.0009704,0.0009704,0.0009704
28,3165.9,1.1855,0.72746,1.09701,0.86834,0.79945,0.83023,0.48407,1.40038,0.87964,1.24755,0.0009308,0.0009308,0.0009308
29,3279.61,1.16187,0.72094,1.08869,0.89674,0.84848,0.85517,0.47528,1.43368,0.88396,1.27987,0.0008912,0.0008912,0.0008912
