step	mAP50(B)
0	0.26556
1	0.17774
2	0.64941
3	0.51523
4	0.01123
5	0.16102
6	0.08609
7	0.74529
8	0.71946
9	0.81924
10	0.78931
11	0.76988
12	0.7824
13	0.76156
14	0.80474
15	0.86948
16	0.84222
17	0.82306
18	0.84191
19	0.86484
20	0.8592
21	0.86143
22	0.8635
23	0.84416
24	0.78844
25	0.83299
26	0.8213
27	0.83023
28	0.85517
29	0.83087
30	0.85621
31	0.87184
32	0.86293
33	0.85844
34	0.84559
35	0.85448
36	0.86266
37	0.85722
38	0.8609
39	0.85226
40	0.83156
41	0.83064
42	0.84623
43	0.85108
44	0.8597
45	0.86878
46	0.8702
47	0.86423
48	0.86044
49	0.85433
