step	precision(B)
0	0.00356
1	0.00364
2	0.96224
3	0.81258
4	0.01383
5	0.16714
6	0.09768
7	0.77059
8	0.70798
9	0.82423
10	0.76685
11	0.75598
12	0.77558
13	0.75734
14	0.83379
15	0.84472
16	0.85577
17	0.86115
18	0.8703
19	0.91241
20	0.89815
21	0.91651
22	0.8397
23	0.8842
24	0.83725
25	0.87778
26	0.92239
27	0.86834
28	0.89674
29	0.87279
30	0.89745
31	0.92033
32	0.9056
33	0.84139
34	0.87714
35	0.8973
36	0.90107
37	0.86145
38	0.86888
39	0.86685
40	0.89502
41	0.8695
42	0.90561
43	0.93939
44	0.92761
45	0.91597
46	0.8929
47	0.90697
48	0.88751
49	0.86592
