step	dfl_loss
0	1.31939
1	1.19312
2	1.2195
3	1.25454
4	1.2684
5	1.27641
6	1.26371
7	1.25626
8	1.26415
9	1.21942
10	1.22723
11	1.21817
12	1.19736
13	1.18376
14	1.17132
15	1.19788
16	1.15307
17	1.19171
18	1.18892
19	1.16707
20	1.15977
21	1.13636
22	1.11242
23	1.0839
24	1.10804
25	1.13133
26	1.12359
27	1.09701
28	1.08869
29	1.08692
30	1.09483
31	1.10091
32	1.08052
33	1.066
34	1.10605
35	1.08727
36	1.0815
37	1.0839
38	1.05667
39	1.07317
40	1.05528
41	1.05583
42	1.03763
43	1.04012
44	1.02339
45	1.03421
46	1.0338
47	1.01092
48	1.01636
49	1.01763
